iteration,placebo_beta
1,0.16000067599801193
2,0.06727951405355344
3,-0.013326051818071658
4,-0.031928185433810576
5,-0.21452939263766357
6,-0.2567688396989764
7,0.042833440445605477
8,0.034575995429313236
9,-0.014424957951018225
10,-0.151067710292669
11,0.038292371272013986
12,0.0947130328857072
13,0.09655079230000574
14,0.0073160027499268
15,-0.05720048875850847
16,0.2621037211897975
17,-0.024012118462549865
18,0.07889436277478343
19,-0.037103689206124016
20,-0.003295912789183255
21,-0.05180655624453628
22,0.04280245842389264
23,0.12748948506579327
24,0.1131313053158778
25,0.1541489039736728
26,-0.015764977400047286
27,-0.13772326767424828
28,0.17068440068239826
29,-0.018734451948455258
30,-0.20335465140242265
31,-0.027096612658800003
32,0.16101222719265382
33,0.16948925676965998
34,-0.16337685951514888
35,0.0484509901054002
36,-0.045393158604729075
37,0.02758472004188381
38,0.1579869786533835
39,-0.1547310406914137
40,0.09114171621575445
41,0.04634250318193124
42,-0.023781530490265258
43,-0.10049191276045126
44,0.03010058114204007
45,0.09464403176711232
46,0.012585376608644994
47,-0.03902233365464076
48,-0.024106037486461257
49,-0.027130616963478345
50,-0.17533876055492337
51,0.20819505122928764
52,0.05722051454700405
53,-0.03666084435549184
54,0.07891993862968855
55,-0.03600991171885834
56,0.1398811899037545
57,0.062202930281947705
58,0.04873464395682883
59,-0.06067481100313578
60,0.05894362988014129
61,-0.0011850047133637742
62,-0.21751180248537877
63,0.15330676919170466
64,0.01462026153044428
65,0.04420265021884716
66,0.1633139222081596
67,-0.06301036312995933
68,-0.0948656799687758
69,0.016815312490683656
70,-0.17242479154824708
71,0.1151116380078386
72,-0.01754680548119946
73,-0.1814660266453798
74,0.15819812349012843
75,-0.19962877193102457
76,-0.007873886444887492
77,0.04359862893173462
78,-0.0510495055172811
79,0.02079056583791355
80,0.048309829384955455
81,-0.2669766933235981
82,-0.08771202489903872
83,-0.014565091002876705
84,-0.10399057757043884
85,-0.03216218311486091
86,0.17748478168154014
87,-0.20474614889317488
88,0.16338124532279893
89,-0.06125862276985061
90,0.11605436630549432
91,0.09495065460128767
92,0.04436895958555962
93,0.04753054109413367
94,-0.08629382286157893
95,-0.1722832783023254
96,0.03688055658829359
97,-0.021315627302064273
98,-0.03930823063654883
99,0.04713293158634751
100,0.06227182310579478
101,0.05595097268890388
102,-0.06621355939781173
103,0.07960169317648472
104,0.13392493889329093
105,-0.035288496550085285
106,-0.12137933818512708
107,-0.0648102020439049
108,0.15217017685391848
109,-0.10553742823769338
110,-0.22865154485456676
111,-0.16170499427294027
112,-0.14071910931904139
113,0.11912233850730791
114,-0.07861792873015791
115,-0.11011372004589451
116,0.0032098045809739054
117,0.174764620857107
118,0.2571385859578294
119,-0.09629282277068292
120,0.05954906687944013
121,0.029818264371449542
122,-0.11854347598078818
123,0.059998175546652086
124,0.008327310607506381
125,-0.01832694245962066
126,0.09101388551352356
127,0.15716677876120946
128,0.027201641419530534
129,-0.0485731279099076
130,0.06847559569450581
131,0.06907529651105443
132,0.08715006016067223
133,0.29681814935182826
134,-0.03993708153637087
135,0.20532382057192655
136,0.004512860318010493
137,0.029848071506955547
138,-0.004887567897676977
139,-0.06858157713310836
140,-0.12317362608960847
141,0.1426935987081227
142,0.04902865263530255
143,0.14753552971938638
144,0.08368679611692074
145,0.11552754602150164
146,-0.11534137094200647
147,-0.05440445138604702
148,-0.08137711531012036
149,0.17973483866288642
150,0.03898627378840105
151,-0.04514813512949652
152,0.03500151542965437
153,-0.0549996871213634
154,0.3310936003916556
155,-0.23495384686400586
156,-0.06691854427916316
157,-0.09995825267784184
158,0.05687760391793726
159,0.039932017022811114
160,0.057010988027095234
161,-0.07230952085631288
162,0.011015305301814035
163,0.1468098543767357
164,-0.001301272350680019
165,-0.04626530032598438
166,0.02806402950323299
167,-0.009422418277955535
168,-0.04716297044430806
169,0.10296002710959197
170,-0.04675438394870829
171,0.08715427178734106
172,-0.02359660957767218
173,0.001959227593683305
174,0.08989016633747854
175,0.006529841316059222
176,0.07421473818768219
177,0.15799766570559812
178,-0.05586541891133689
179,0.014707276534986803
180,0.07259119152340306
181,-0.06822025084941113
182,-0.018753508190366856
183,0.0409692055325309
184,-0.09703507666790878
185,-0.03622486593262491
186,-0.04603116264823322
187,-8.164851938609191e-4
188,0.06906637823879168
189,-0.011515394227591985
190,0.07717514803901626
191,0.12963484643166703
192,-0.15148436365040532
193,-0.06136633818092734
194,-0.0642688167257726
195,-0.006360070128192487
196,0.04851036637459161
197,0.030372066564472115
198,-0.11081072562509081
199,-0.01264602539246202
200,0.03985415730289777
